,TRANSITING,UN_STATION,DAY_OF_WEEK
517,691954.0,23STNR,Wednesday
518,131226.0,25AVD,Friday
519,65549.0,25AVD,Monday
520,124088.0,25AVD,Saturday
521,78642.0,25AVD,Sunday
522,136536.0,25AVD,Thursday
523,121525.0,25AVD,Tuesday
524,134269.0,25AVD,Wednesday
525,111243.0,25STR,Friday
526,60012.0,25STR,Monday
527,104315.0,25STR,Saturday
528,71160.0,25STR,Sunday
529,113158.0,25STR,Thursday
530,98954.0,25STR,Tuesday
531,109946.0,25STR,Wednesday
532,428299.0,28ST1,Friday
533,141116.0,28ST1,Monday
534,365439.0,28ST1,Saturday
535,176772.0,28ST1,Sunday
536,425420.0,28ST1,Thursday
537,355402.0,28ST1,Tuesday
538,420136.0,28ST1,Wednesday
539,833422.0,28ST6,Friday
540,272079.0,28ST6,Monday
541,710808.0,28ST6,Saturday
542,341756.0,28ST6,Sunday
543,825859.0,28ST6,Thursday
544,676925.0,28ST6,Tuesday
545,799395.0,28ST6,Wednesday
546,506514.0,28STNR,Friday
547,208475.0,28STNR,Monday
548,444179.0,28STNR,Saturday
549,275610.0,28STNR,Sunday
550,500013.0,28STNR,Thursday
551,410277.0,28STNR,Tuesday
552,492728.0,28STNR,Wednesday
553,582030.0,2AVF,Friday
554,384975.0,2AVF,Monday
555,559830.0,2AVF,Saturday
556,473184.0,2AVF,Sunday
557,565449.0,2AVF,Thursday
558,467425.0,2AVF,Tuesday
559,539547.0,2AVF,Wednesday
560,453755.0,30AVNQ,Friday
561,238479.0,30AVNQ,Monday
562,418154.0,30AVNQ,Saturday
563,295412.0,30AVNQ,Sunday
564,455611.0,30AVNQ,Thursday
565,404065.0,30AVNQ,Tuesday
566,451756.0,30AVNQ,Wednesday
567,913399.0,33ST6,Friday
568,303014.0,33ST6,Monday
569,793620.0,33ST6,Saturday
570,390613.0,33ST6,Sunday
571,908749.0,33ST6,Thursday
572,750639.0,33ST6,Tuesday
573,887368.0,33ST6,Wednesday
574,371123.0,33STRAWSONST7,Friday
575,58717.0,33STRAWSONST7,Monday
576,268340.0,33STRAWSONST7,Saturday
577,93861.0,33STRAWSONST7,Sunday
578,362922.0,33STRAWSONST7,Thursday
579,302082.0,33STRAWSONST7,Tuesday
580,360537.0,33STRAWSONST7,Wednesday
581,3933345.0,34STHERALDSQBDFMNQR,Friday
582,1718226.0,34STHERALDSQBDFMNQR,Monday
583,3654852.0,34STHERALDSQBDFMNQR,Saturday
584,2147532.0,34STHERALDSQBDFMNQR,Sunday
585,3944957.0,34STHERALDSQBDFMNQR,Thursday
586,3366620.0,34STHERALDSQBDFMNQR,Tuesday
587,3842684.0,34STHERALDSQBDFMNQR,Wednesday
588,260655.0,34STHUDSONYD7,Friday
589,152993.0,34STHUDSONYD7,Monday
590,238740.0,34STHUDSONYD7,Saturday
591,169610.0,34STHUDSONYD7,Sunday
592,258686.0,34STHUDSONYD7,Thursday
593,235799.0,34STHUDSONYD7,Tuesday
594,258853.0,34STHUDSONYD7,Wednesday
595,1140190.0,34STPENNSTA123,Friday
596,426403.0,34STPENNSTA123,Monday
597,1023480.0,34STPENNSTA123,Saturday
598,516615.0,34STPENNSTA123,Sunday
599,1162496.0,34STPENNSTA123,Thursday
600,973785.0,34STPENNSTA123,Tuesday
601,1134640.0,34STPENNSTA123,Wednesday
602,1648022.0,34STPENNSTA123ACE,Friday
603,784730.0,34STPENNSTA123ACE,Monday
604,1490037.0,34STPENNSTA123ACE,Saturday
605,875654.0,34STPENNSTA123ACE,Sunday
606,1624063.0,34STPENNSTA123ACE,Thursday
607,1431298.0,34STPENNSTA123ACE,Tuesday
608,1604444.0,34STPENNSTA123ACE,Wednesday
609,2563478.0,34STPENNSTAACE,Friday
610,1047211.0,34STPENNSTAACE,Monday
611,2319021.0,34STPENNSTAACE,Saturday
612,1198137.0,34STPENNSTAACE,Sunday
613,2547542.0,34STPENNSTAACE,Thursday
614,2222367.0,34STPENNSTAACE,Tuesday
615,2500599.0,34STPENNSTAACE,Wednesday
616,219249.0,36AVNQ,Friday
617,119592.0,36AVNQ,Monday
618,210467.0,36AVNQ,Saturday
619,150810.0,36AVNQ,Sunday
620,217488.0,36AVNQ,Thursday
621,191443.0,36AVNQ,Tuesday
622,216359.0,36AVNQ,Wednesday
623,355390.0,36STDNR,Friday
624,203171.0,36STDNR,Monday
625,332268.0,36STDNR,Saturday
626,261827.0,36STDNR,Sunday
627,349793.0,36STDNR,Thursday
628,304470.0,36STDNR,Tuesday
629,347254.0,36STDNR,Wednesday
630,128113.0,36STMR,Friday
631,31995.0,36STMR,Monday
632,118582.0,36STMR,Saturday
633,44858.0,36STMR,Sunday
634,130228.0,36STMR,Thursday
635,108109.0,36STMR,Tuesday
636,128961.0,36STMR,Wednesday
637,98194.0,39AVNQ,Friday
638,48364.0,39AVNQ,Monday
639,89851.0,39AVNQ,Saturday
640,61480.0,39AVNQ,Sunday
641,97807.0,39AVNQ,Thursday
642,86849.0,39AVNQ,Tuesday
643,96709.0,39AVNQ,Wednesday
644,177533.0,3AV138ST6,Friday
645,90442.0,3AV138ST6,Monday
646,164025.0,3AV138ST6,Saturday
647,113592.0,3AV138ST6,Sunday
648,177454.0,3AV138ST6,Thursday
649,153354.0,3AV138ST6,Tuesday
650,174790.0,3AV138ST6,Wednesday
651,555261.0,3AV149ST25,Friday
652,241889.0,3AV149ST25,Monday
653,501722.0,3AV149ST25,Saturday
654,322542.0,3AV149ST25,Sunday
655,504298.0,3AV149ST25,Thursday
656,487177.0,3AV149ST25,Tuesday
657,577456.0,3AV149ST25,Wednesday
658,232987.0,3AVL,Friday
659,157056.0,3AVL,Monday
660,225438.0,3AVL,Saturday
661,193650.0,3AVL,Sunday
662,230525.0,3AVL,Thursday
663,201911.0,3AVL,Tuesday
664,226610.0,3AVL,Wednesday
665,349833.0,40STLOWERYST7,Friday
666,173516.0,40STLOWERYST7,Monday
667,322758.0,40STLOWERYST7,Saturday
668,209442.0,40STLOWERYST7,Sunday
669,349957.0,40STLOWERYST7,Thursday
670,304061.0,40STLOWERYST7,Tuesday
671,346172.0,40STLOWERYST7,Wednesday
672,1497421.0,42STBRYANTPK7BDFM,Friday
673,451027.0,42STBRYANTPK7BDFM,Monday
674,1304393.0,42STBRYANTPK7BDFM,Saturday
675,580613.0,42STBRYANTPK7BDFM,Sunday
676,1498004.0,42STBRYANTPK7BDFM,Thursday
677,1202350.0,42STBRYANTPK7BDFM,Tuesday
678,1445050.0,42STBRYANTPK7BDFM,Wednesday
679,442998.0,42STPORTAUTH1237ACEGNRS,Friday
680,263036.0,42STPORTAUTH1237ACEGNRS,Monday
681,414594.0,42STPORTAUTH1237ACEGNRS,Saturday
682,331141.0,42STPORTAUTH1237ACEGNRS,Sunday
683,445070.0,42STPORTAUTH1237ACEGNRS,Thursday
684,356939.0,42STPORTAUTH1237ACEGNRS,Tuesday
685,415707.0,42STPORTAUTH1237ACEGNRS,Wednesday
686,2294946.0,42STPORTAUTH1237ACENQRS,Friday
687,1238122.0,42STPORTAUTH1237ACENQRS,Monday
688,2157993.0,42STPORTAUTH1237ACENQRS,Saturday
689,1495188.0,42STPORTAUTH1237ACENQRS,Sunday
690,2261992.0,42STPORTAUTH1237ACENQRS,Thursday
691,2021740.0,42STPORTAUTH1237ACENQRS,Tuesday
692,2218173.0,42STPORTAUTH1237ACENQRS,Wednesday
693,115293.0,45STR,Friday
694,68773.0,45STR,Monday
695,105215.0,45STR,Saturday
696,82451.0,45STR,Sunday
697,115282.0,45STR,Thursday
698,104345.0,45STR,Tuesday
699,114925.0,45STR,Wednesday
700,407679.0,46STBLISSST7,Friday
701,233610.0,46STBLISSST7,Monday
702,384842.0,46STBLISSST7,Saturday
703,282548.0,46STBLISSST7,Sunday
704,408631.0,46STBLISSST7,Thursday
705,360382.0,46STBLISSST7,Tuesday
706,402847.0,46STBLISSST7,Wednesday
707,281152.0,46STMR,Friday
708,132825.0,46STMR,Monday
709,258545.0,46STMR,Saturday
710,163225.0,46STMR,Sunday
711,283273.0,46STMR,Thursday
712,252933.0,46STMR,Tuesday
713,281467.0,46STMR,Wednesday
714,2198885.0,4750STSROCKBDFM,Friday
715,553461.0,4750STSROCKBDFM,Monday
716,1925549.0,4750STSROCKBDFM,Saturday
717,699896.0,4750STSROCKBDFM,Sunday
718,2207854.0,4750STSROCKBDFM,Thursday
719,1782964.0,4750STSROCKBDFM,Tuesday
720,2136482.0,4750STSROCKBDFM,Wednesday
721,858060.0,49STNQR,Friday
722,471084.0,49STNQR,Monday
723,786024.0,49STNQR,Saturday
724,558514.0,49STNQR,Sunday
725,867389.0,49STNQR,Thursday
726,711401.0,49STNQR,Tuesday
727,835946.0,49STNQR,Wednesday
728,414777.0,4AV9STDFGMNR,Friday
729,204020.0,4AV9STDFGMNR,Monday
730,372411.0,4AV9STDFGMNR,Saturday
731,258344.0,4AV9STDFGMNR,Sunday
732,417809.0,4AV9STDFGMNR,Thursday
733,357668.0,4AV9STDFGMNR,Tuesday
734,410158.0,4AV9STDFGMNR,Wednesday
735,910097.0,50ST1,Friday
736,384696.0,50ST1,Monday
737,811689.0,50ST1,Saturday
